Algorithm,Noise_Ratio,T,s,Max_Included_Literals,Epochs,Platform,Total_Time,Accuracy
TMClassifier,0.05,10000,10.0,32,10,CPU_sparse,998.1966772079468,64.1051912568306
Graph NN,0.1,0,0,0,20000,CPU,373.10851979255676,70.8743155002594
GraphTM,0.1,10000,10.0,23,10,CUDA,148.95248794555664,89.86338797814207
TMClassifier,0.1,10000,10.0,32,10,CPU_sparse,993.9887461662292,49.62431693989071
Graph NN,0.2,0,0,0,20000,CPU,388.21142077445984,64.15300369262695
GraphTM,0.2,10000,10.0,23,10,CUDA,168.77049660682678,76.93989071038251
TMClassifier,0.2,10000,10.0,32,10,CPU_sparse,947.7270972728729,20.116120218579233
Graph NN,0.005,0,0,0,20000,CPU,370.7274992465973,75.79234838485718
GraphTM,0.005,10000,10.0,23,10,CUDA,109.92479467391968,98.27868852459017
TMClassifier,0.005,10000,10.0,32,10,CPU_sparse,944.8954434394836,76.74180327868852
Graph NN,0.01,0,0,0,20000,CPU,382.68008041381836,90.8196747303009
GraphTM,0.01,10000,10.0,23,10,CUDA,113.02455401420593,98.4153005464481
TMClassifier,0.01,10000,10.0,32,10,CPU_sparse,958.4739623069763,74.86338797814209
Graph NN,0.02,0,0,0,20000,CPU,466.3325071334839,96.22950553894043
GraphTM,0.02,10000,10.0,23,10,CUDA,121.06816530227661,97.6775956284153
TMClassifier,0.02,10000,10.0,32,10,CPU_sparse,952.7009084224701,72.1311475409836
Graph NN,0.05,0,0,0,20000,CPU,462.6835868358612,75.79234838485718
GraphTM,0.05,10000,10.0,23,10,CUDA,136.21898555755615,94.53551912568307
TMClassifier,0.05,10000,10.0,32,10,CPU_sparse,974.2475302219391,64.00273224043715
Graph NN,0.1,0,0,0,20000,CPU,425.79654932022095,87.18579411506653
GraphTM,0.1,10000,10.0,23,10,CUDA,149.70053339004517,90.0
TMClassifier,0.1,10000,10.0,32,10,CPU_sparse,1005.1148529052734,49.59016393442623
Graph NN,0.2,0,0,0,20000,CPU,454.7309219837189,60.10928750038147
GraphTM,0.2,10000,10.0,23,10,CUDA,170.75228261947632,78.68852459016394
TMClassifier,0.2,10000,10.0,32,10,CPU_sparse,949.2937788963318,20.116120218579233
Graph NN,0.005,0,0,0,20000,CPU,570.247394323349,75.68305730819702
GraphTM,0.005,10000,10.0,23,10,CUDA,478.04068207740784,98.5792349726776
TMClassifier,0.005,10000,10.0,32,10,CPU_sparse,1043.9900722503662,76.22950819672131
Graph NN,0.01,0,0,0,20000,CPU,428.5804445743561,98.68852496147156
GraphTM,0.01,10000,10.0,23,10,CUDA,522.4638862609863,98.44262295081967
TMClassifier,0.01,10000,10.0,32,10,CPU_sparse,1060.4919381141663,74.93169398907104
Graph NN,0.02,0,0,0,20000,CPU,432.5051038265228,76.25682950019836
GraphTM,0.02,10000,10.0,23,10,CUDA,465.56538343429565,97.73224043715847
TMClassifier,0.02,10000,10.0,32,10,CPU_sparse,1074.2418582439423,72.40437158469946
Graph NN,0.05,0,0,0,20000,CPU,492.7251534461975,85.16393303871155
GraphTM,0.05,10000,10.0,23,10,CUDA,688.4105927944183,94.91803278688525
TMClassifier,0.05,10000,10.0,32,10,CPU_sparse,1055.8136265277863,64.00273224043715
Graph NN,0.1,0,0,0,20000,CPU,584.2829260826111,78.22404503822327
GraphTM,0.1,10000,10.0,23,10,CUDA,625.4286091327667,90.13661202185791
TMClassifier,0.1,10000,10.0,32,10,CPU_sparse,1055.7545056343079,48.83879781420765
Graph NN,0.2,0,0,0,20000,CPU,318.2997555732727,67.40437150001526
GraphTM,0.2,10000,10.0,23,10,CUDA,1264.404123544693,77.62295081967213
TMClassifier,0.2,10000,10.0,32,10,CPU_sparse,1000.3779845237732,20.081967213114755
