Algorithm,Noise_Ratio,T,s,Max_Included_Literals,Epochs,Platform,Total_Time,Accuracy
Graph NN,0.005,0,0,0,20000,CPU,440.5256702899933,90.4644787311554
GraphTM,0.005,10000,10.0,23,10,CUDA,109.76434278488159,98.55191256830601
TMClassifier,0.005,10000,10.0,32,10,CPU_sparse,1004.704318523407,76.63934426229508
Graph NN,0.01,0,0,0,20000,CPU,385.76011848449707,77.62295007705688
GraphTM,0.01,10000,10.0,23,10,CUDA,113.28425002098083,98.44262295081967
TMClassifier,0.01,10000,10.0,32,10,CPU_sparse,953.8945541381836,74.93169398907104
Graph NN,0.02,0,0,0,20000,CPU,422.2995481491089,90.71038365364075
GraphTM,0.02,10000,10.0,23,10,CUDA,121.29091334342957,97.6775956284153
TMClassifier,0.02,10000,10.0,32,10,CPU_sparse,1002.099497795105,72.1311475409836
Graph NN,0.05,0,0,0,20000,CPU,383.33483958244324,81.8306028842926
GraphTM,0.05,10000,10.0,23,10,CUDA,134.72863698005676,94.53551912568307
TMClassifier,0.05,10000,10.0,32,10,CPU_sparse,936.831921339035,64.1051912568306
Graph NN,0.1,0,0,0,20000,CPU,320.32143545150757,83.60655903816223
GraphTM,0.1,10000,10.0,23,10,CUDA,150.56500816345215,89.15300546448087
TMClassifier,0.1,10000,10.0,32,10,CPU_sparse,955.8687121868134,49.62431693989071
Graph NN,0.2,0,0,0,20000,CPU,432.34014868736267,64.15300369262695
GraphTM,0.2,10000,10.0,23,10,CUDA,169.61127710342407,79.12568306010928
TMClassifier,0.2,10000,10.0,32,10,CPU_sparse,945.0617082118988,20.116120218579233
Graph NN,0.005,0,0,0,20000,CPU,458.87039852142334,79.37158346176147
GraphTM,0.005,10000,10.0,23,10,CUDA,110.9952290058136,98.82513661202185
TMClassifier,0.005,10000,10.0,32,10,CPU_sparse,985.8775904178619,76.63934426229508
Graph NN,0.01,0,0,0,20000,CPU,453.55728340148926,76.06557607650757
GraphTM,0.01,10000,10.0,23,10,CUDA,113.85269451141357,98.27868852459017
TMClassifier,0.01,10000,10.0,32,10,CPU_sparse,941.0662143230438,75.06830601092896
Graph NN,0.02,0,0,0,20000,CPU,416.2407822608948,91.66666865348816
GraphTM,0.02,10000,10.0,23,10,CUDA,120.69959592819214,97.78688524590164
TMClassifier,0.02,10000,10.0,32,10,CPU_sparse,973.9127674102783,72.40437158469946
Graph NN,0.05,0,0,0,20000,CPU,311.2621831893921,75.46448111534119
GraphTM,0.05,10000,10.0,23,10,CUDA,134.66055345535278,94.89071038251366
TMClassifier,0.05,10000,10.0,32,10,CPU_sparse,953.3380017280579,63.25136612021858
Graph NN,0.1,0,0,0,20000,CPU,425.43416261672974,73.79781603813171
GraphTM,0.1,10000,10.0,23,10,CUDA,150.67951107025146,90.27322404371586
TMClassifier,0.1,10000,10.0,32,10,CPU_sparse,967.5897221565247,49.59016393442623
Graph NN,0.2,0,0,0,20000,CPU,379.8497235774994,64.15300369262695
GraphTM,0.2,10000,10.0,23,10,CUDA,169.7126281261444,77.81420765027323
TMClassifier,0.2,10000,10.0,32,10,CPU_sparse,955.9427745342255,20.116120218579233
